identifier,ideophone,method,z_score,score
yoroyoro_WOBBLING,y,guesses,1.827858494662993,0.8610271903323263
fuwafuwa_SOFT,y,guesses,0.800336182448119,0.6978851963746223
katai_HARD,n,guesses,1.4853510572580344,0.8066465256797583
pyoNpyoN_HOPPING,y,guesses,2.3416196507704297,0.9425981873111783
hisohiso_WHISPERING,y,guesses,1.7136893488613398,0.8429003021148036
tyikutyiku_CRAMPING (STOMACH),y,guesses,-0.6559546995551827,0.4666666666666667
syiQpori_WET,y,guesses,-0.8658990732237771,0.43333333333333335
kapokapo_SLOSHING,y,guesses,-0.2360659522179938,0.5333333333333333
yakiyaki_ANNOYED/IMPATIENT,y,guesses,-1.9156209415667498,0.26666666666666666
darui_SLUGGISH,n,guesses,-1.0758434468923717,0.4
igaiga_PRICKLING,y,guesses,1.4434890371307625,0.8
zawazawa_(SPINE) TINGLING,y,guesses,-0.026121578549399355,0.5666666666666667
hirihiri_THROBBING,y,guesses,-0.44601032588658823,0.5
hetoheto_EXHAUSTED,y,guesses,-2.1255653152353444,0.23333333333333334
suzusyii_COOL,n,guesses,-0.026121578549399355,0.5666666666666667
zuruNzuruN_SLIMY,y,guesses,-1.7056765678981554,0.3
omoi_OILY/HEAVY (FOOD),n,guesses,0.39376716878778956,0.6333333333333333
suQkoi_CUNNING,n,guesses,0.1838227951191951,0.6
tyiraatyiraa_STINGING (PAIN),y,guesses,-0.026121578549399355,0.5666666666666667
nebaneba_SLIMY,y,guesses,-1.1808156337266689,0.38333333333333336
serasera_PRICKLING,y,guesses,0.39376716878778956,0.6333333333333333
oQkanai_SCARY,n,guesses,0.39376716878778956,0.6333333333333333
kaii_ITCHING,n,guesses,-0.44601032588658823,0.5
kooru_FREEZE,n,guesses,0.8136559161249785,0.7
hidarui_HUNGRY,n,guesses,-0.026121578549399355,0.5666666666666667
sabaku_TEAR,n,guesses,-0.026121578549399355,0.5666666666666667
omoreru_HUMID,n,guesses,1.233544663462168,0.7666666666666667
dareta_EXHAUSTED,n,guesses,-0.2360659522179938,0.5333333333333333
mizukusai_WEAK,n,guesses,-1.0758434468923717,0.4
kawaku_DRY,n,guesses,0.1838227951191951,0.6
kitsuka_SLUGGISH,n,guesses,-1.0758434468923717,0.4
niyaniya_CRAMPING (STOMACH),y,guesses,-1.2857878205609665,0.36666666666666664
zyimezyime_HUMID,y,guesses,-2.1255653152353444,0.23333333333333334
zoNzoN_(SPINE) TINGLING,y,guesses,2.28326653180514,0.9333333333333333
tyikutyiku_ITCHING,y,guesses,1.653433410799357,0.8333333333333334
hiyaQkoi_COOL,n,guesses,0.1838227951191951,0.6
suu_SUCK,n,guesses,1.023600289793573,0.7333333333333333
fuku_BLOW,n,guesses,0.8136559161249785,0.7
saku_TEAR,n,guesses,0.603711542456384,0.6666666666666666
osoi_SLOW,n,guesses,0.603711542456384,0.6666666666666666
kiiN_RINGING,y,guesses,2.0733221581365457,0.9
izyiizyi_ANNOYED/IMPATIENT,y,guesses,-1.2857878205609665,0.36666666666666664
mabusyii_GLARING (OVERLY BRIGHT),n,guesses,0.03437086810087385,0.576271186440678
yakamasyii_NOISY,n,guesses,0.8136559161249785,0.7
deQkai_BIG,n,guesses,0.1838227951191951,0.6
saQpari_CLEAN,y,guesses,0.1838227951191951,0.6
syobosyobo_WATERY (EYES),y,guesses,-1.2857878205609665,0.36666666666666664
kaku_SCRATCH,n,guesses,0.603711542456384,0.6666666666666666
kanasyii_SAD,n,guesses,-0.44601032588658823,0.5
modokasyii_ANNOYED/IMPATIENT,n,guesses,-0.2360659522179938,0.5333333333333333
tsurai_SAD,n,guesses,0.1838227951191951,0.6
