pairing,modality,target_word_file,n_correct_of36,n,accuracy_pct,mean_rating,median_rt_ms
a9,auditory,a9kh-sakutto,34,36,94.4,3.86,12016.39999999851
a7,auditory,a7kh-gisigisi,30,36,83.3,3.89,13231.04999991061
v2,visual,v2hk-doNyori,30,36,83.3,4.14,11885.350000000035
i3,interoceptive,i3kh-iraira,29,36,80.6,4.92,12979.249999999942
v8,visual,v8hk-marumaru,27,36,75.0,4.36,12066.700000000012
a2,auditory,a2hk-zyaazyaa,26,36,72.2,4.11,12431.420000000013
v0,visual,v0hk-kukkiri,26,36,72.2,4.64,15731.19999995231
i5,interoceptive,i5kh-harahara,25,36,69.4,5.0,11734.149999999994
a0,auditory,a0hk-gosogoso,25,36,69.4,3.78,13322.849999952334
v7,visual,v7kh-kiritto,25,36,69.4,4.58,13706.440000003
a6,auditory,a6hk-dosari,24,36,66.7,3.28,12599.800000005225
i9,interoceptive,i9kh-dokidoki,24,36,66.7,5.81,13050.0
v5,visual,v5kh-nikoniko,24,36,66.7,4.42,11740.27999999994
a3,auditory,a3kh-syakisyaki,24,36,66.7,4.86,11412.649999997768
i0,interoceptive,i0hk-uNzari,23,36,63.9,3.25,11517.440000000002
a4,auditory,a4hk-zuruzuru,23,36,63.9,4.97,13234.659999999974
a8,auditory,a8hk-bosori,22,36,61.1,3.22,14096.449999904638
a1,auditory,a1kh-batyabatya,21,36,58.3,4.53,13157.0
v3,visual,v3kh-hirahira,21,36,58.3,4.39,15196.949999999182
v1,visual,v1kh-gizagiza,21,36,58.3,3.94,14688.95000000004
i4,interoceptive,i4hk-tyaNto,21,36,58.3,4.67,15057.950000023819
i1,interoceptive,i1kh-gatugatu,20,36,55.6,3.58,16727.900000002977
i8,interoceptive,i8hk-hotto,20,36,55.6,4.78,12277.750000011933
v6,visual,v6hk-huNwari,20,36,55.6,4.11,13146.150000000373
i6,interoceptive,i6hk-noNbiri,20,36,55.6,3.72,13394.050000011921
i7,interoceptive,i7kh-zokuzoku,20,36,55.6,4.75,15862.04999999993
v9,visual,v9kh-bosabosa,20,36,55.6,4.06,20390.450000023848
a5,auditory,a5kh-dotabata,18,36,50.0,4.28,11290.949999999633
v4,visual,v4hk-bissiri,17,36,47.2,3.78,13874.0
i2,interoceptive,i2hk-syoboN,13,36,36.1,4.03,13037.5
