romaji,romaji_hepburn,gloss,pool,workbook_hira,kata_share
batabata,batabata,"clattering, flapping about",A,ばたばた,0.776
hissori,hissori,"hushed, still",A,ひっそり,0.003
boribori,boribori,"crunching loudly",B,,
potopoto,potopoto,"dripping in steady drops",B,,
kerakera,kerakera,"cackling openly",B,,
kutukutu,kutsukutsu,"chuckling under one's breath",B,,
pokipoki,pokipoki,"snapping dry sticks",B,,
tyokityoki,chokichoki,"snipping with scissors",B,,
kisikisi,kishikishi,"creaking under strain",B,,
dotadota,dotadota,"stomping heavily",B,,
sarasara,sarasara,"smooth, dry, silky",A,さらさら,0.515
nebaneba,nebaneba,"sticky, gooey",A,ねばねば,0.695
dorodoro,dorodoro,"thick, muddy, syrupy",A,どろどろ,0.727
tururi,tsururi,"slipping smoothly",B,,
togetoge,togetoge,"prickly, thorny",B,,
husahusa,fusafusa,"fluffy, tufted",A,ふさふさ,0.455
gyuQ,gyuq,"squeezing tight",B,,
hunyahunya,funyafunya,"limp, squishy",B,,
uttori,uttori,"spellbound, dreamily entranced",A,うっとり,0.131
hiyari,hiyari,"a chill of sudden fear",B,,
daradara,daradara,"listless, dragging on",A,だらだら,0.519
kippari,kippari,"decisive, clean-cut",A,きっぱり,0.291
guruguru,guruguru,"head spinning, dizzy whirl",A,ぐるぐる,0.302
gakuN,gakun,"a sudden jolt or drop",A,がくん,0.666
pokaN,pokan,"blank, vacantly dazed",A,ぽかん,0.384
tirari,chirari,"a fleeting glimpse",A,ちらり,0.352
zikkuri,jikkuri,"carefully, taking a long look",A,じっくり,0.019
potuN,potsun,"all alone, a solitary dot",A,ぽつん,0.479
kurukuru,kurukuru,"twirling round and round",A,くるくる,0.336
urouro,urouro,"wandering aimlessly",A,うろうろ,0.474
sassa,sassa,"briskly, without dawdling",A,さっさ,0.262
pikari,pikari,"a sudden flash of light",B,,
metyakutya,mechakucha,"in total disarray",A,めちゃくちゃ,0.153
kittiri,kitchiri,"neatly, precisely",B,,
