pair_id,modality,audio_prefix,word_1,word_2,word_2_is_existing,difficulty_prior
A1,AUDITORY,a10,batabata,hissori,0,easy
A2,AUDITORY,a11,boribori,poripori,1,hard
A3,AUDITORY,a12,potopoto,zyaazyaa,1,easy
A4,AUDITORY,a13,kerakera,kutukutu,0,medium
A5,AUDITORY,a14,pokipoki,tyokityoki,0,medium
A6,AUDITORY,a15,kisikisi,dotadota,0,medium
H1,HAPTIC,h1,sarasara,nebaneba,0,easy
H4,HAPTIC,h4,dorodoro,tururi,0,medium
H5,HAPTIC,h5,togetoge,husahusa,0,easy
H6,HAPTIC,h6,gyuQ,hunyahunya,0,medium
I1,INTEROCEPTIVE,i10,uttori,uNzari,1,easy
I2,INTEROCEPTIVE,i11,hiyari,hokkori,1,easy
I3,INTEROCEPTIVE,i12,daradara,kippari,0,medium
I4,INTEROCEPTIVE,i13,guruguru,gakuN,0,medium
I5,INTEROCEPTIVE,i14,pokaN,wakuwaku,1,medium
V1,VISUAL,v10,tirari,zikkuri,0,medium
V2,VISUAL,v11,potuN,bissiri,1,easy
V3,VISUAL,v12,kurukuru,pitari,1,medium
V4,VISUAL,v13,urouro,sassa,0,medium
V5,VISUAL,v14,pikari,doNyori,1,easy
V6,VISUAL,v15,metyakutya,kittiri,0,easy
